IP  CoreNo SocketNo ThreadPerCore CorePerSocket NUMAnodeNo
192.168.0.10  24 1 2 12 1
192.168.0.11  24 1 2 12 1
192.168.0.12  24 1 2 12 1
192.168.0.13  24 1 2 12 1
192.168.0.14  24 1 2 12 1
192.168.0.15  24 1 2 12 1
192.168.0.16  24 1 2 12 1
192.168.0.17  24 1 2 12 1
192.168.0.18  24 1 2 12 1
192.168.0.19  24 1 2 12 1
192.168.0.2  16 1 2 8 1
192.168.0.20  24 1 2 12 1
192.168.0.21  24 1 2 12 1
192.168.0.22  24 1 2 12 1
192.168.0.23  24 1 2 12 1
192.168.0.24  24 1 2 12 1
192.168.0.25  24 1 2 12 1
192.168.0.26  24 1 2 12 1
192.168.0.27  24 1 2 12 1
192.168.0.28  64 1 2 32 4
192.168.0.29  64 1 2 32 4
192.168.0.3  16 1 2 8 1
192.168.0.30  64 1 2 32 4
192.168.0.31  64 1 2 32 4
192.168.0.32  64 1 2 32 4
192.168.0.33  24 1 2 12 1
192.168.0.34  12 1 2 6 1
192.168.0.35  12 1 2 6 1
192.168.0.36  12 1 2 6 1
192.168.0.37  12 1 2 6 1
192.168.0.38  12 1 2 6 1
192.168.0.39  12 1 2 6 1
192.168.0.4  16 1 2 8 1
192.168.0.40  24 1 2 12 1
192.168.0.41  24 1 2 12 1
192.168.0.42  24 1 2 12 1
192.168.0.43  24 1 2 12 1
192.168.0.5  16 1 2 8 1
192.168.0.6  16 1 2 8 1
192.168.0.7  16 1 2 8 1
192.168.0.8  16 1 2 8 1
192.168.0.9  24 1 2 12 1
